group allocate blueprint 20260726 jim-seed
spec allocate blueprint/001 blueprint-spec 20260726 jim-seed
spec allocate blueprint/002 blueprint-update 20260726 jim-seed
spec allocate blueprint/003 blueprint-update-guard 20260726 jim-seed
spec allocate blueprint/004 blueprint-regen-cadence 20260726 jim-seed
spec allocate blueprint/005 context-map 20260726 jim-seed
spec allocate blueprint/006 contract-graph 20260726 jim-seed
spec allocate blueprint/007 verify-engine 20260726 jim-seed
spec allocate blueprint/008 verify-loop 20260726 jim-seed
spec allocate blueprint/009 verify-contracts 20260726 jim-seed
spec allocate blueprint/010 partition-migration 20260726 jim-seed
spec allocate blueprint/011 graph-health 20260726 jim-seed
spec allocate blueprint/012 blueprint-gate-presentation 20260726 jim-seed
spec allocate blueprint/013 verify-retirement 20260726 jim-seed
spec allocate blueprint/014 plan-blast-radius 20260726 jim-seed
spec allocate blueprint/015 partition-rename 20260726 jim-seed
spec allocate blueprint/016 partition-health 20260726 jim-seed
spec allocate blueprint/017 reconcile-face-counters 20260726 jim-seed
spec allocate blueprint/018 spec-migration 20260726 jim-seed
spec allocate blueprint/019 partition-split 20260726 jim-seed
spec allocate blueprint/020 partition-merge 20260726 jim-seed
spec allocate blueprint/021 contracts-check-hardening 20260726 jim-seed
spec allocate blueprint/022 blueprint-present-tense 20260726 jim-seed
spec allocate blueprint/023 partition-ref-sweep 20260726 jim-seed
spec allocate blueprint/024 blueprint-provenance-guard 20260726 jim-seed
group allocate issue 20260726 jim-seed
spec allocate issue/001 issue-tracking 20260726 jim-seed
spec allocate issue/002 issue-tracking-workflow-integration 20260726 jim-seed
spec allocate issue/003 issue-command-consolidation 20260726 jim-seed
spec allocate issue/004 issue-insights 20260726 jim-seed
spec allocate issue/005 issue-id-prefix 20260726 jim-seed
spec allocate issue/006 issue-timestamp-fidelity 20260726 jim-seed
spec allocate issue/007 issue-id-rederive 20260726 jim-seed
spec allocate issue/008 issue-pipeline-ownership 20260726 jim-seed
spec allocate issue/009 issue-candidate-batch-extraction 20260726 jim-seed
group allocate platform 20260726 jim-seed
spec allocate platform/001 meta-test 20260726 jim-seed
spec allocate platform/002 jimconf 20260726 jim-seed
spec allocate platform/003 jimfile 20260726 jim-seed
spec allocate platform/004 jimledger-home 20260726 jim-seed
spec allocate platform/005 ledger-literal-pathspecs 20260726 jim-seed
spec allocate platform/006 script-preamble-conformance 20260726 jim-seed
spec allocate platform/007 id-coordination-allocator 20260726 jim-seed
spec allocate platform/008 registry-seed 20260726 jim-seed
group allocate sdlc 20260726 jim-seed
spec allocate sdlc/001 meta 20260726 jim-seed
spec allocate sdlc/002 pm-core 20260726 jim-seed
spec allocate sdlc/003 pm-strategy 20260726 jim-seed
spec allocate sdlc/004 researcher 20260726 jim-seed
spec allocate sdlc/005 architect 20260726 jim-seed
spec allocate sdlc/006 coder 20260726 jim-seed
spec allocate sdlc/007 build-hooks 20260726 jim-seed
spec allocate sdlc/008 directive-vocabulary 20260726 jim-seed
spec allocate sdlc/009 allowed-tools-narrowing 20260726 jim-seed
spec allocate sdlc/010 arch-feedback-loop 20260726 jim-seed
spec allocate sdlc/011 meta-matrix 20260726 jim-seed
spec allocate sdlc/012 spec-refinement 20260726 jim-seed
spec allocate sdlc/013 sec 20260726 jim-seed
spec allocate sdlc/014 review 20260726 jim-seed
spec allocate sdlc/015 review-depth 20260726 jim-seed
spec allocate sdlc/016 review-verdict 20260726 jim-seed
spec allocate issue/010 ordinal-coordination 20260728 jim-seed
spec allocate platform/009 provisional-reconcile 20260728 jim-seed
spec allocate platform/010 allocator-issue-prefix 20260728 jim-seed
spec allocate platform/011 rename-path-correctness 20260729 jrko
spec allocate sdlc/017 coordinated-spec-identity 20260730 jrko
spec allocate sdlc/018 finish-coordinated-spec-identity 20260731 jrko
spec allocate platform/012 registry-integrity-and-drift 20260801 jrko
spec allocate blueprint/025 rename-redirect-record-emission 20260802 jrko
spec rename jim/001 sdlc/001 20260725 jim-lift
spec rename jim/002 sdlc/002 20260725 jim-lift
spec rename jim/003 sdlc/003 20260725 jim-lift
spec rename jim/004 sdlc/004 20260725 jim-lift
spec rename jim/005 sdlc/005 20260725 jim-lift
spec rename jim/006 sdlc/006 20260725 jim-lift
spec rename jim/010 sdlc/007 20260725 jim-lift
spec rename jim/011 sdlc/008 20260725 jim-lift
spec rename jim/012 sdlc/009 20260725 jim-lift
spec rename jim/013 sdlc/010 20260725 jim-lift
spec rename jim/014 sdlc/011 20260725 jim-lift
spec rename jim/015 sdlc/012 20260725 jim-lift
spec rename jim/016 sdlc/013 20260725 jim-lift
spec rename jim/026 sdlc/014 20260725 jim-lift
spec rename jim/027 sdlc/015 20260725 jim-lift
spec rename jim/028 sdlc/016 20260725 jim-lift
spec rename jim/029 blueprint/001 20260725 jim-lift
spec rename jim/030 blueprint/002 20260725 jim-lift
spec rename jim/031 blueprint/003 20260725 jim-lift
spec rename jim/032 blueprint/004 20260725 jim-lift
spec rename jim/033 blueprint/005 20260725 jim-lift
spec rename jim/034 blueprint/006 20260725 jim-lift
spec rename jim/035 blueprint/007 20260725 jim-lift
spec rename jim/036 blueprint/008 20260725 jim-lift
spec rename jim/037 blueprint/009 20260725 jim-lift
spec rename jim/038 blueprint/010 20260725 jim-lift
spec rename jim/039 blueprint/011 20260725 jim-lift
spec rename jim/040 blueprint/012 20260725 jim-lift
spec rename jim/041 blueprint/013 20260725 jim-lift
spec rename jim/042 blueprint/014 20260725 jim-lift
spec rename jim/043 blueprint/015 20260725 jim-lift
spec rename jim/044 blueprint/016 20260725 jim-lift
spec rename jim/045 blueprint/017 20260725 jim-lift
spec rename jim/046 blueprint/018 20260725 jim-lift
spec rename jim/047 blueprint/019 20260725 jim-lift
spec rename jim/048 blueprint/020 20260725 jim-lift
spec rename jim/049 blueprint/021 20260725 jim-lift
spec rename jim/050 blueprint/022 20260725 jim-lift
spec rename jim/051 blueprint/023 20260725 jim-lift
spec rename jim/052 blueprint/024 20260725 jim-lift
spec rename jim/017 issue/001 20260725 jim-lift
spec rename jim/018 issue/002 20260725 jim-lift
spec rename jim/019 issue/003 20260725 jim-lift
spec rename jim/020 issue/004 20260725 jim-lift
spec rename jim/021 issue/005 20260725 jim-lift
spec rename jim/022 issue/006 20260725 jim-lift
spec rename jim/023 issue/007 20260725 jim-lift
spec rename jim/024 issue/008 20260725 jim-lift
spec rename jim/025 issue/009 20260725 jim-lift
spec rename jim/007 platform/001 20260725 jim-lift
spec rename jim/008 platform/002 20260725 jim-lift
spec rename jim/009 platform/003 20260725 jim-lift
spec realize platform/P-20260801-registry-integrity-and-drift platform/012 20260801 jim-lift
spec realize blueprint/P-20260802-rename-redirect-record-emission blueprint/025 20260802 jim-lift
spec allocate issue/011 issue-placement 20260806 jrko
spec realize issue/P-20260806-issue-placement issue/011 20260806 jrko
spec allocate issue/012 schema-and-state-model 20260817 jrko
spec realize issue/P-20260817-schema-and-state-model issue/012 20260817 jrko
spec allocate issue/013 recorded-identity-schemes 20260823 jrko
spec realize issue/P-20260823-recorded-identity-schemes issue/013 20260823 jrko
spec allocate issue/014 read-view-filter-composition 20260825 jrko
spec realize issue/P-20260825-read-view-filter-composition issue/014 20260825 jrko
spec allocate issue/015 epic-authoring-and-views 20260827 jrko
spec realize issue/P-20260827-epic-authoring-and-views issue/015 20260827 jrko
