clarity_rank,path,dimension,fix,quote,note
1,korswerk/docs/specs/observability/001-structured-logging/spec.md,vague,specify,"emitted through the structured logging path at appropriate levels","""appropriate levels"" names no level per site; untestable AC"
1,korswerk/docs/specs/sources/002-binary-format-ingest/spec.md,vague,specify,"phrased so a reasonable student understands the recovery action","""reasonable student understands"" cannot be tested"
1,korswerk-django/docs/specs/quizzes/005-server-side-take-flow/spec.md,vague,specify,"reproduces the quiz_player design's look, copy, states, and interactions","AC defers acceptance wholesale to an external design doc"
1,korswerk-django/docs/specs/quizzes/009-quiz-creation-ui/spec.md,vague,specify,"recreates the A · Composer Phase-1 design at high fidelity","""high fidelity"" is an untestable acceptance bar"
1,korswerk-django/docs/specs/ui/002-app-shell-navigation/spec.md,vague,specify,"a wider desktop width, a denser tablet width, and a collapsed icon-only width","Exact px removed; widths now unmeasurable"
2,korswerk/docs/specs/develop/001-develop-build/spec.md,vague,specify,"detects devcontainer and exits 1 with a clear error message","""clear error message"" untestable; repeated across many script ACs"
2,korswerk/docs/specs/develop/007-svelte-router/spec.md,vague,specify,"supports Svelte 5 (runes, the new component API) without warnings or hacks","""without hacks"" unmeasurable acceptance condition"
2,korswerk/docs/specs/backend/001-create-topic-command/spec.md,hedging,specify,"behavior on remaining files in the batch matches the atomicity decision (see Open Questions)","AC untestable until the atomicity Open Question is decided"
2,korswerk/docs/specs/backend/001-create-topic-command/spec.md,vague,specify,"topics table sufficient to identify a topic, store its title, and order topics","""sufficient to"" defers the columns; only loosely testable"
2,korswerk/docs/specs/rag/001-text-splitter/spec.md,vague,specify,"Each chunk is an ordered slice sized close to a downstream-consumable target","""close to a target"" gives no measurable bound in the AC"
2,korswerk/docs/specs/sources/001-ingester/spec.md,vague,specify,"the source's processing fails with a clear ""unsupported format"" reason","""clear"" unmeasurable; the reason string is not pinned"
2,korswerk/docs/specs/observability/001-structured-logging/spec.md,vague,specify,"Log events are attributable to that operation when the log is read back","""attributable"" mechanism unpinned; no observable assertion"
