URL,Project Name,Short Description,Why It's Relevant
https://github.com/Fission-AI/OpenSpec,OpenSpec,"SDD framework (62.4k star, direct-verified); canonical current-state specs/ vs delta changes/, mechanical ADDED/MODIFIED/REMOVED archive-merge","Tier-1 living-spec analogue (structural half): closest thing to jim's 000-blueprint current-state spec, but updates from pre-authored plan deltas not build/review learnings; no provides/requires, no invariant floor, no map"
https://github.com/github/spec-kit,GitHub Spec Kit,"SDD toolkit (123.6k star, direct-verified); NEW /speckit.converge post-impl gap-classifier (missing/partial/contradicts/unrequested), /speckit.constitution enforced-gate principles","Tier-1 for blueprint fold-back mechanism + jim:review concept: converge is the closest conceptual post-build-conformance analogue; constitution is the nearest invariant-floor analogue (global/ungraded); uses NO git"
https://github.com/github/spec-kit/blob/main/templates/commands/converge.md,spec-kit /speckit.converge,"Post-implementation convergence command; classifies gaps 4 ways, converged/tasks_appended loop, 4-pillar 0-100 quality score","Closest conceptual analogue to jim:review; borrow the unrequested (scope-creep) class + numeric pillar scores; no SHA scoping, no per-AC fan-out, no omission class, no verdict trajectory"
https://kiro.dev/docs/specs,Amazon Kiro,"Commercial SDD IDE (intl launch 2026-05-07); requirements/design/tasks specs (pre-impl, unidirectional per official docs), steering docs (product/tech/structure.md)","Tier-2 living-spec: steering docs are present-tense conventions ~ jim ARCHITECTURE.md; drift-detection/spec-as-source-of-truth are 3rd-party review claims NOT in official docs"
https://docs.pact.io,Pact (+ BDCT / Matrix / can-i-deploy),"Dominant consumer-driven contract testing 2026 (PactFlow/SmartBear); BDCT reconciles consumer pact subset of provider OpenAPI; Matrix = derived join; can-i-deploy = blast radius","Tier-1 STRONGEST prior art for contract graph: requires-subset-provides is structurally jim's reconcile; but runtime/HTTP-schema layer, needs services running+tested; jim is design-time/pre-code/intra-repo with richer finding taxonomy"
https://contextmapper.org,Context Mapper,"DDD context-map DSL (CML v6.12.0, active) + AR-2/3/6/7 split/merge refactorings + MDSL contracts; Service Cutter proposal engine DEACTIVATED since v6.10.0 (Nov 2023)","Tier-1 analogue for BOTH contract graph and partition: only tool sharing propose+split/merge+human-map shape and rich DDD relationship vocab, but two faces never reconcile, proposes from hand-written model not real code, no drift detection"
https://riftmap.dev,Riftmap,"Cross-repo declared-dependency graph (Dockerfile/Terraform/Helm/pkg) with confidence scoring + transitive blast radius; API + MCP (marketed prod July 2026)","Tier-1 for blast-radius framing: owns jim's 'AI-agent blast radius' phrase in market discourse; single declared edge-type, no two-face reconcile, no finding classes (stats are vendor-blog, unverified)"
https://knip.dev,knip,"Dead-code/unused-export/unused-dependency finder (~40M npm dl/mo); ts-prune archived, recommends knip","Tier-2 contract graph: purest dead-surface analogue (unused exports), but one-directional, no contract graph, no provider-intent face"
https://api-extractor.com,Microsoft API Extractor,".api.md provider-surface snapshot; diff appears only on a contractual change, PR policy gates approval","Tier-2 contract graph: provider-declared surface + breaking-change-on-diff (provides-side + breaking-change idea), but provider-only, no consumer face, no cross-module graph"
https://www.archunit.org/,ArchUnit,"Java architecture-conformance lib (v1.4.2, 2026-04-18); JUnit rules over bytecode; FreezingArchRule grandfathers existing violations","Tier-1 verify analogue: reference deterministic mechanical-floor implementation; freeze is the OPPOSITE of jim's retirement mode; no judge tier, no registry, no 5-outcome taxonomy, no contract/retirement modes"
https://www.sonarsource.com/blog/introducing-architecture-in-sonarqube/,SonarQube Architecture Management,"GA in SonarQube Server 2026.4, free all commercial editions (2026-05-20); reverse-engineers arch every analysis vs UI allow-list; absorbed Structure101","Tier-1 verify: jim's strongest mainstream deterministic competitor, explicitly for agent-code drift; but NO LLM judge (its AI move feeds context TO agents via MCP = prevention), no criticality gating, no 5-outcome taxonomy, no retirement"
https://www.thoughtworks.com/radar/techniques/architecture-drift-reduction-with-llms,Thoughtworks Tech Radar - Architecture drift reduction with LLMs,"Assess ring, Vol 34 (April 2026); hybrid deterministic (Spectral/ArchUnit/Spring Modulith) + LLM semantic detection AND remediation","Tier-3 verify (closest published articulation of jim's mechanical+LLM combo): validates the thesis; but a technique not a product, LLM also FIXES code (jim's judge is read-only), no criticality gating, no outcome taxonomy"
https://evolutionaryarchitecture.com/,Building Evolutionary Architectures (fitness functions),"Ford/Parsons/Kua; automated architectural fitness functions mainstream 2026; 'Future Directions' names AI-based fitness functions as future work","Verify: jim's mechanical floor IS fitness functions; jim is an early concrete instantiation of the book's named-but-unbuilt 'AI fitness function' direction; adds criticality gating + 5-outcome taxonomy the literature lacks"
https://arxiv.org/html/2606.14948v2,arXiv 2606.14948v2 - Architectural Reasoning in Code LLMs,"Research (2026-07-06); LLM Architecture Complexity/Quality Judges generate repo-specific rubrics, score conformance with evidence + confidence, gated by complexity/quality thresholds","Tier-3 verify (closest research prior art to jim's judge tier + gating): but gates by complexity/quality for training-data curation not criticality-for-conformance; infers conventions from code vs checking declared invariants"
https://github.com/obra/superpowers/blob/main/skills/subagent-driven-development/SKILL.md,obra/superpowers subagent-driven-development,"Fresh subagent per task; records BASE SHA before dispatch, reviews BASE..HEAD; dual spec+quality verdict; whole-branch review on most-capable model; '⚠️ Cannot verify from diff' flag","Tier-1 jim:review mechanical analogue: ONLY analogue recording a build BASE SHA; the Cannot-verify-from-diff flag is the field's nearest gesture toward the omission class (but punts to controller); per-task/blocking not per-spec/advisory"
https://dev.to/nesquikm/i-built-a-claude-code-plugin-that-stops-it-from-shipping-broken-code-2gj3,dev-process-toolkit (nesquikm),"NEW 2026 CC plugin; spec-review walks AC checklist pass/fail/partial with evidence; bounded convergence-escalation (stop+escalate if round 2 repeats)","Tier-2 jim:review: convergence-escalation is a loop-safety pattern jim lacks and could borrow; single agent walking checklist, not per-AC fan-out; no SHA scoping, no verdict"
https://github.com/anthropics/claude-code/blob/main/plugins/code-review/commands/code-review.md,anthropics/claude-code official code-review plugin,"Now runs as background subagent; fans out 4 agents per LENS (2 Sonnet CLAUDE.md, 2 Opus bugs) + false-positive validation; HIGH SIGNAL only; advisory (--comment opt-in)","Tier-2 jim:review: confirms field norm (per-lens fan-out, branch diff, no AC binding); its HIGH-SIGNAL/if-not-certain-don't-flag discipline is a guardrail for jim's investigators"
https://github.com/liza-mas/liza,Liza,"AI dev pipeline (Go, active 2026); .liza/log.yaml activity history (claimed->merged) with timestamps/verdicts/commit refs; 43+ rule state machine","Tier-1 ledger analogue and jim's inverse: closest self-instrumented AI-pipeline log, but runtime dir NOT committed, YAML not grep-text, content-full not content-free, write-side validation not read-side trust boundary, task-lifecycle not SDLC-meta-stages"
https://slsa.dev,SLSA / in-toto / Rekor,"Signed provenance binding artifact SHA -> workflow run + commit; append-only transparency log; shifting opt-in -> default for public repos 2025-2026","Tier-2 ledger: cousin on append-only + provenance + validated SHAs, but crypto-signed, external, about build artifacts; jim's build-boundary SHAs echo it at a lighter in-repo altitude; jim lacks (by design) its cryptographic tamper-evidence"
https://learn.microsoft.com/azure/architecture/patterns/event-sourcing,Event Sourcing pattern,"Append-only immutable event store as source of truth; derive read models from the log","Tier-3 ledger: structural cousin (jim's trusted read-back ~ event-sourcing read model), but event sourcing trusts its own store and models app domain state; jim treats its own log as untrusted and instruments the SDLC meta-process"
https://nx.dev/docs/features/enforce-module-boundaries,Nx enforce-module-boundaries + Conformance,"Monorepo project graph from imports; hand-assigned tags + depConstraints enforced at lint; Conformance boundary rule lang-agnostic (Enterprise)","Tier-2/3 across contract-graph, verify, partition: enforces a HAND-DECLARED partition (never proposes one), coarse boundary-leak only; no surface/breaking/dead/blast, no split/merge/rename evolution"
https://dl.acm.org/doi/10.1145/3468264.3473915,Mono2Micro (IBM),"Monolith->microservice decomposition; static + runtime traces -> similarity matrix -> hierarchical clustering (Java)","Tier-2 partition: genuinely proposes a partition from real (incl. runtime-trace) dependency signal, but the point is to MOVE code into services, one-shot, no evolution verbs; jim inverts (never moves code)"
https://arxiv.org/abs/2207.11784,CARGO,"Un/semi-supervised partition refinement over a context/flow-sensitive system dependency graph; avoids distributed monoliths","Tier-2 partition: closest to jim's derive-sound-cross-boundary-edges-from-the-real-graph idea, but monolith->micro migration, code-moving, one-shot, Java EE only, no living-map evolution"
https://codescene.com/product/behavioral-code-analysis,CodeScene,"Behavioral code analysis (v5.x); change-coupling / hotspots / code-health / trend detection from git temporal+social history","Tier-2 partition (closest to jim health verb) + orthogonal to verify: coupling from git co-change (temporal) vs jim static imports (structural); observational only, no propose/split/merge; complementary signal"
https://import-linter.readthedocs.io/,import-linter,"Python import-graph contracts (v2.7): Layers/Forbidden/Independence/Protected; production use at scale","Tier-3 partition: enforce hand-written contracts, Python-only; its Independence contract is a hand-declared version of what jim auto-derives and re-derives"
